Clause ,Title,"Clause
 Date",Acceptance Status*,Acceptance Criteria and Additional Notes,Request to Sponsor,"Subcontract 
Flowdown",VT Review Date & initial,Notify PI,Notify OESRC,Prescription,
OLD,Rights in Noncommercial Computer Software and Noncommercial Computer Software Documentation ,Feb 2014,C,"Use in contracts where computer software or documentation will be delivered to the Gov't.

USE ALT I when delivering software that PI wants to commercialize.  Adds (l) Publication for sale.  CO must obtain approval from legal counsel.    

Work with PI to identify any restricted rights computer software - see table in 252.227-7014(e)(3); if used, include 252.227-7019","Per prescription 227-7203-6 (a)(2), Alt I is to be used in research contracts if CO, in consultation with legal counsel, approves.",,"06/12/20 CDC
01/09/14 CDC",,,227.7203-6(a)(2),
252.227-7015,Technical Data--Commercial Items,JAN 2023,REMOVE,"Not a mandatory flow down.  Virginia Tech produces noncommercial items, this clause is applicable only to technical data  for commercial items, components, or processes- substitute with  252.227-7013 ",,Yes,"03/19/23 CDC
12/06/15 CDC
07/18/14 CDC
04/08/10  LDC",yes,,227.7102-3,
OLD,Technical Data--Commercial Items,Feb 2014,REMOVE,"Not a mandatory flow down.  Virginia Tech produces noncommercial items, this clause is applicable only to technical data  for commercial items, components, or processes- substitute with  252.227-7013 ",,Yes,"12/06/15 CDC
07/18/14 CDC
04/08/10  LDC",yes,,227.7102-3,
252.227-7016,Rights in Bid or Proposal Information,Jan 2023,C,Include if 252.227-7013 or 252.227-7014 are in the contract or if SBIR contract and 252.227-7018 is used.,,Yes,"03/19/23 CDC
06/12/20 CDC
07/18/14 CDC
04/08/10  LDC",yes,,"227.7103-6(e)(1), 227.7104(e)(1) or 227.7203-6(b)",
OLD,Rights in Bid or Proposal Information,Jan 2011,C,Include if 252.227-7013 or 252.227-7014 are in the contract or if SBIR contract and 252.227-7018 is used.,,Yes,"06/12/20 CDC
07/18/14 CDC
04/08/10  LDC",yes,,"227.7103-6(e)(1), 227.7104(e)(1) or 227.7203-6(b)",
252.227-7017,"Identification and Assertion of Use, Release, or Disclosure Restrictions",Jan 2023,OK,"Solicitation Provision - For solicitations contracts that include 252.227-7013 or in SBIR contracts that include 252.227-7018
NOTE: RESTRICTED DATA MUST BE MARKED IN PROPOSAL",,Not required in clause or prescription,"03/19/23 CDC
10/18/10 LDC",yes,,"227.7103-3(b), 227.7104(e)(2) or 227.7203-3(a)",
OLD,"Identification and Assertion of Use, Release, or Disclosure Restrictions",Jan 2011,OK,"Solicitation Provision - For solicitations contracts that include 252.227-7013 or in SBIR contracts that include 252.227-7018
NOTE: RESTRICTED DATA MUST BE MARKED IN PROPOSAL",,Not required in clause or prescription,10/18/10 LDC,yes,,"227.7103-3(b), 227.7104(e)(2) or 227.7203-3(a)",
252.227-7018,Rights in Noncommercial Technical Data and Computer Software – SBIR Program,Jan 2023,C,"Applicable to SBIR contracts only when technical data or computer software will be developed, limits Gov't data rights to 5 years.",,Yes.  See paragraph (k) for specific instructions,"03/19/23 CDC
07/18/14 CDC
10/20/10 LDC",yes,,227.7104(a),
OLD,Rights in Noncommercial Technical Data and Computer Software – SBIR Program,Feb 2014,C,"Applicable to SBIR contracts only when technical data or computer software will be developed, limits Gov't data rights to 5 years.",,Yes.  See paragraph (k) for specific instructions,"07/18/14 CDC
10/20/10 LDC",yes,,227.7104(a),
252.227-7019,Validation of Asserted Restrictions --Computer Software,Jan 2023,C,Include if 252.227-7014 or 7018 is used.  The clause provides procedures for the validation of asserted restriction on Government's rights,,Yes if subcontract will be furnishing computer software to the Government,"03/19/23 CDC
06/12/20 CDC
10/20/10 LDC
05/05/14 CDC",yes,,227.7104(e)(3) or 227.7203-6(c),
OLD,Validation of Asserted Restrictions --Computer Software,Sept 2016,C,Include if 252.227-7014 or 7018 is used.  The clause provides procedures for the validation of asserted restriction on Government's rights,,Yes if subcontract will be furnishing computer software to the Government,"06/12/20 CDC
10/20/10 LDC
05/05/14 CDC",yes,,227.7104(e)(3) or 227.7203-6(c),
252.227-7020,Rights in Special Works,Jun 1995,REMOVE,"Used when the US Government desires to control the distribution of work.  Mandatory assignment of copyright to Gov't, includes indemnification/ warranty terms (See paragraph e).

There are also publication restrictions included within this clause.  

Notify OESRC in the event the clause is unable to be removed.   ","Negotiation Position #1 - Request for Clause Removal:  Indemnification 

As a state agency and public educational institution, Virginia Tech is prohibited from indemnifying.  This clause includes indemnification.  Therefore, Virginia Tech respectfully requests for its removal and for the parties to rely on the standard terms and conditions pertaining to intellectual property that would be applicable to the research efforts being conducted under DFARS 252.227-7013, Rights in Technical Data - Noncommercial Items, and DFARS 252.227-7014 - Rights in noncommercial computer software and noncommercial computer software documentation.  

Negotiation Position #2 - Request for Clause Removal:  Virginia Tech Not Providing Special Works. 

As a state agency and public educational institution, Virginia Tech is executing research efforts and is not providing Special Works.  Therefore, it is respectfully requested for this clause to be removed.  Thank you. 
 ",,"03/19/23 CDC
03/28/21 CDC
06/12/2020 CDC",,Yes,"227.7105-3, 227.7106a or 227.7205(a)",
252.227-7025,Limitations on Use or Disclosure of Government-Furnished Information Marked With Restrictive Legends,Jan 2023,REMOVE,"Used when the Gov't will provide technical data (DFARS 227.7103-6(c)) or computer software or computer software documentation (DFARS 227.7203-6(d)) with another contractor's restrictive legends. 

This clause includes indemnification at Paragraph c.  It is our preference to negotiate for the removal of this clause due to its inclusion of indemnity. ","Negotiation Position #1 - Request for Removal of the Clause:

As a state agency and public educational institution, Virginia Tech is prohibited from indemnifying.  This clause includes indemnification.  Therefore, Virginia Tech respectfully requests for its removal. Thank you. ",Not required in clause or prescription,"03/19/23 CDC
10/24/13 CDC",no,,"227.7103-6(c), 227.7104(f)(1), or 227.7203-6(d)",
OLD,Limitations on Use or Disclosure of Government-Furnished Information Marked With Restrictive Legends,May 2013,REMOVE,"Used when the Gov't will provide technical data (DFARS 227.7103-6(c)) or computer software or computer software documentation (DFARS 227.7203-6(d)) with another contractor's restrictive legends. 

This clause includes indemnification at Paragraph c.  It is our preference to negotiate for the removal of this clause due to its inclusion of indemnity. ","Negotiation Position #1 - Request for Removal of the Clause:

As a state agency and public educational institution, Virginia Tech is prohibited from indemnifying.  This clause includes indemnification.  Therefore, Virginia Tech respectfully requests for its removal. Thank you. ",Not required in clause or prescription,10/24/13 CDC,no,,"227.7103-6(c), 227.7104(f)(1), or 227.7203-6(d)",
OLD,Limitations on Use or Disclosure of Government-Furnished Information Marked With Restrictive Legends,May 2013,C,"Used when the Gov't will provide data/information with another contractor's restrictive legends. Need to include, ""To the extent permitted by Virginia State law"" under section c(1) Indemnification.",This clause has an indemnification term in it that is not permitted by VA state law.,Not required in clause or prescription,10/18/10 LDC,no,,"227.7103-6(c), 227.7104(f)(1), or 227.7203-6(d)",
252.227-7026,Deferred Delivery of Technical Data or Computer Software,APR 1988,OK,Used when it is in the best interest of the Gov't to defer the delivery or technical data (up to 2 years).,Consult with the PI.  This is atypical of research efforts.  ,,"06/12/20 CDC
12/06/15 CDC  ",yes,,227.7103-8(a),
252.227-7027,Deferred Ordering of Technical Data or Computer Software,APR 1988,C,Used when a firm requirement for a particular data items has not been established at the time of award.  The Gov't can order any data under the contract up to 3 years after acceptance.,Consult with the PI.  This is atypical of research efforts.  This would apply more to a major system or subsystem or a weapons system or subsystem.  ,,"06/12/20 CDC
12/06/15 CDC   ",yes,,227.7103-8(b),
252.227-7028,Technical Data or Computer Software Previously Delivered to the Government,Jun 1995,C,"When delivering computer software or computer software documentation or when delivering technical data.
PI will need to provide list of all limited rights technical data or software in accordance with clause",,Not required in clause or prescription,"06/12/20 CDC
12/06/15 CDC ",yes,,"227.7103-6(d)

227.7104(f)(2) or


227.7203-6(e)",
,,,,,,,,,,,
,,,,,,,,,,,
252.227-7030,Technical Data--Withholding of Payment,Mar 2000,C,"Required when 252.227-7013 or -7018 is used, allows withholding of 10% payment for nondelivery of required technical data.",,Not Required in clause or prescription,"12/06/15 CDC
07/02/10 LDC",no,,"227.7103-6(e)(2) or 227.7104(e)(4),",
252.227-7037,Validation of Restrictive Markings on Technical Data,Jan 2023,C,"Use when Virginia Tech will deliver noncommercial computer software documentation (technical data).  This clause is required if DFARS 252.227-7013, Rights in Technical Data - Noncommercial Items, or DFARS 252.227-7015, Rights in Technical Data - Commercial Items, is included with the solicitation/contract.",,"Yes, applicable to subcontracts where the delivery of technical data will occur.","03/19/23 CDC
04/28/22 CDC
06/12/20 CDC",no,,"227.7102-4(c), 227.7103-6(e)(3), 227.7104(e)(5), or 227.7203-6(f)",
